Pressure (MPa),Temperature (°C),Specific Volume (m³/kg),Enthalpy (kJ/kg),Entropy (kJ/kg·K),Internal Energy (kJ/kg),Viscosity (μPa·s),Thermal Conductivity (mW/m·K),Density (kg/m³),Prandtl Number (dimensionless)
0.01,0.1,0.0010001967027528213,0.3899501429077251,0.0013907070630318477,0.37994817600704905,1785.7334920263013,555.8361018576087,999.8033359315423,13556.150566268312
0.01,3.8767676767676766,0.0010000704417063209,16.303816737296028,0.05923129311211872,16.293816032898548,1573.6657914947277,565.1100387812567,999.9295632553636,11718.671165948961
0.01,7.653535353535353,0.0010001731513738102,32.18043673985446,0.11615505223096055,32.17043500834365,1399.2581949306814,573.6914271617939,999.8268786023975,10243.242585209407
0.01,11.43030303030303,0.0010004803584494038,48.0290504311494,0.17221918150618884,48.01904562746165,1253.9237971909838,581.6770005942701,999.5198721840493,9039.515492439312
0.01,15.207070707070706,0.0010009723903323037,63.8567415535964,0.22747108443103348,63.846731829662225,1131.4081402507356,589.1422199805005,999.0285542921109,8043.826895591096
0.01,18.983838383838386,0.0010016332110323733,79.66901817215283,0.28195088301714016,79.65900184012838,1027.0684725156584,596.1464184121326,998.3694519966148,7210.257402904717
0.01,22.76060606060606,0.0010024495953792217,95.47020767125993,0.3356931360036181,95.46018317521364,937.3993116573465,602.7365820943011,997.5563904753784,6505.000900645753
0.01,26.537373737373738,0.0010034105297685874,111.26373760481736,0.38872806457680337,111.25370349942112,859.712889860718,608.9501721463612,996.6010624092473,5902.713729700289
0.01,30.314141414141414,0.0010045067683684176,127.0523433273308,0.44108245840861393,127.04229825957796,791.9194577853068,614.8172573641895,995.513451466596,5384.0858063639935
0.01,34.09090909090909,0.0010057304984720354,142.83822637824431,0.4927803643097042,142.82816907330093,732.3734232508846,620.3621428704724,994.3021530313125,4934.18773490573
0.01,37.86767676767677,0.0010070750841154963,158.62317812257814,0.5438436203690222,158.61310737174853,679.7637725597339,625.6046242142645,992.9746210316481,4541.323163965719
0.01,41.644444444444446,0.0010085348669013833,174.40867777546194,0.5942922759632362,174.39859242681194,633.0348235967097,630.5609595394753,991.5373605995342,4196.217467584297
0.01,45.42121212121212,0.0010101050093737727,190.19597082960072,0.6441449248127797,190.1858697795642,591.3281015356816,635.2446271916606,989.9960803282845,3891.434779673312
0.01,49.1979797979798,14.829362724558479,2590.4200938497197,8.169283221078812,2442.1264666041347,10.49314167035725,20.194727974398212,0.06743378111211272,1002.7395347359592
0.01,52.974747474747474,15.006348889582142,2597.693587984499,8.191716249589852,2447.630099088677,10.6238943298839,20.478179064553736,0.06663846131781129,997.3167529334874
